llm,n_observations,total_surviving,predicted_equivalent,mean_equiv_rate_pct,std_equiv_rate_pct,min_equiv_rate_pct,max_equiv_rate_pct,range_equiv_rate_pct,coeff_of_variation_pct,weighted_equiv_rate_pct,ci_low_pct,ci_high_pct,rank
google_gemini-2.5-flash,30,3985,425,19.3051,19.3478,0.0,50.0,0.0%-50.0%,100.2212,10.665,9.7114,11.6186,1
anthropic_claude-sonnet-4.5,30,3520,420,20.9542,17.2973,0.0,41.1765,0.0%-41.2%,82.5481,11.9318,10.8807,13.0114,2
meta-llama_llama-4-maverick,30,2565,240,21.4014,20.3088,0.0,54.5455,0.0%-54.5%,94.8944,9.3567,8.2651,10.4873,3
meta-llama_llama-3.3-70b-instruct,30,4220,470,21.9886,19.8184,0.0,50.0,0.0%-50.0%,90.1307,11.1374,10.2133,12.0853,4
google_gemini-2.5-flash-thinking,30,1415,175,22.6339,19.3324,0.0,50.0,0.0%-50.0%,85.4135,12.3675,10.6714,14.0636,5
openai_gpt-4o-mini,30,3710,350,23.2925,25.3881,0.0,64.2857,0.0%-64.3%,108.997,9.434,8.5175,10.3774,6
deepseek_deepseek-chat-v3.1,30,4665,595,24.0363,21.9003,0.0,54.2857,0.0%-54.3%,91.1134,12.7546,11.7899,13.6977,7
