llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
deepseek_deepseek-chat-v3.1,node-jsonfile,run3,3,33,9,24,27.2727,12.1212,42.4242,"(12.1%, 42.4%)"
deepseek_deepseek-chat-v3.1,pull-stream,run3,3,299,3,296,1.0033,0.0,2.3411,"(0.0%, 2.3%)"
deepseek_deepseek-chat-v3.1,spacl-core,run3,3,35,19,16,54.2857,37.1429,71.4286,"(37.1%, 71.4%)"
deepseek_deepseek-chat-v3.1,zip-a-folder,run3,3,8,0,8,0.0,0.0,0.0,"(0.0%, 0.0%)"
deepseek_deepseek-chat-v3.1,Complex.js,run4,4,511,65,446,12.7202,9.9804,15.6556,"(10.0%, 15.7%)"
deepseek_deepseek-chat-v3.1,countries-and-timezones,run4,4,47,23,24,48.9362,34.0426,63.8298,"(34.0%, 63.8%)"
deepseek_deepseek-chat-v3.1,node-jsonfile,run4,4,33,9,24,27.2727,12.1212,42.4242,"(12.1%, 42.4%)"
deepseek_deepseek-chat-v3.1,pull-stream,run4,4,299,3,296,1.0033,0.0,2.3411,"(0.0%, 2.3%)"
deepseek_deepseek-chat-v3.1,spacl-core,run4,4,35,19,16,54.2857,37.1429,71.4286,"(37.1%, 71.4%)"
deepseek_deepseek-chat-v3.1,zip-a-folder,run4,4,8,0,8,0.0,0.0,0.0,"(0.0%, 0.0%)"
deepseek_deepseek-chat-v3.1,Complex.js,run5,5,511,65,446,12.7202,9.9804,15.6556,"(10.0%, 15.7%)"
deepseek_deepseek-chat-v3.1,countries-and-timezones,run5,5,47,23,24,48.9362,34.0426,63.8298,"(34.0%, 63.8%)"
deepseek_deepseek-chat-v3.1,node-jsonfile,run5,5,33,9,24,27.2727,12.1212,42.4242,"(12.1%, 42.4%)"
deepseek_deepseek-chat-v3.1,pull-stream,run5,5,299,3,296,1.0033,0.0,2.3411,"(0.0%, 2.3%)"
deepseek_deepseek-chat-v3.1,spacl-core,run5,5,35,19,16,54.2857,37.1429,71.4286,"(37.1%, 71.4%)"
deepseek_deepseek-chat-v3.1,zip-a-folder,run5,5,8,0,8,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run1,1,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
google_gemini-2.5-flash,countries-and-timezones,run1,1,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run1,1,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run1,1,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run1,1,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run1,1,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run2,2,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
