provider,cheapModel,premiumModel,cheap_meanInvalidRate,cheap_meanDuplicateRate,cheap_portfolioCostPerValid,cheap_portfolioCostPerUnique,cheap_equivRatePct,cheap_totalNonEquivSurvivors,cheap_portfolioCostPerNonEquiv,cheap_nonEquivYield,cheap_totalCostUsd,premium_meanInvalidRate,premium_meanDuplicateRate,premium_portfolioCostPerValid,premium_portfolioCostPerUnique,premium_equivRatePct,premium_totalNonEquivSurvivors,premium_portfolioCostPerNonEquiv,premium_nonEquivYield,premium_totalCostUsd,premiumMultiplierCostPerNonEquiv,marginalCostPerExtraNonEquiv
OpenAI,openai_gpt-4o-mini,openai_gpt-4o,26.898094901852048,3.4113434444628195,0.00013263614173228348,0.00014002319201995012,9.655172413793103,655,0.0005143447328244275,1944.2213289687788,0.3368958,19.832029839234337,3.2796126335582385,0.0020303082437275986,0.0021359577677224737,10.981308411214954,762,0.007433805774278215,134.52059824593613,5.66456,14.452963741762975,0.049791254205607476
Google,google_gemini-3.1-flash-lite,google_gemini-3.5-flash,19.829658922413017,3.6493206958691826,0.00027472405918889294,0.0002883127875766871,13.72093023255814,742,0.001013368935309973,986.8074352349437,0.75191975,17.749059375527604,3.625121794180448,0.0016125938494167549,0.0017092648932184337,13.043478260869565,840,0.005430985714285714,184.1286375269946,4.562028,5.359337083511903,0.0388786556122449
Anthropic,anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,32.1574361159038,3.0480089757805797,0.0016980503678551218,0.0018151572897761646,12.141652613827993,521,0.005759030710172745,173.64033121643217,3.000455,18.821414402912584,5.129390325222725,0.0037972321428571434,0.0040688337129840555,11.881188118811881,623,0.014335617977528092,69.75632313636969,8.931090000000001,2.489241453810217,0.05814348039215687
