category,nModels,nObservations,medianMutationScore,medianSurvivors,medianEquivRate,medianCostPerSurvivor
open-weight,3,18,81.60499999999999,42,12.73865,0.00033852033333333335
api-only,6,36,80.205,40,16.566,0.005455038040503558
hybrid,1,6,81.435,42.5,19.99645,0.000709266634920635
