metric,label,groupA,groupB,medianA,medianB,nA,nB,pValue,effectSize
mutationScore,Mutation score,open-weight,api-only,81.60499999999999,80.205,18,30,0.6936004257571187,0.06851851851851853
nrSurvived,Survivors,open-weight,api-only,42,37,18,30,0.8563558006613405,0.031481481481481444
equivRatePct,Equivalent rate (%),open-weight,api-only,12.73865,16.566,18,30,0.8230633557954485,0.03888888888888886
costPerSurvivor,Cost per survivor,open-weight,api-only,0.00033852033333333335,0.0006645348387096775,18,30,0.9660268280667317,0.007407407407407418
costPerNonEquivSurvivor,Cost per non-equiv survivor,open-weight,api-only,0.0004506678888888889,0.001709956403587444,18,30,0.9321153447887092,0.014814814814814836
