model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
meta-llama_llama-3.1-8b-instruct,Complex.js,1,run1,,490,1424,1127,279,18,42,79.14325842696628,2.9494382022471908,19.59269662921348,63.8,718,408,1,334.827,787157,76227,0.01574314,0.0038113500000000002,0.01955449,0.000013732085674157305,0.00001735092280390417,0.00001802257142857143,0.000047927671568627454,0.000048764314214463845,0.00030649670846394985,7,401
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,run1,,106,313,235,73,5,5,75.07987220447284,1.5974440894568689,23.322683706070286,80,188,47,0,245.88400000000001,82469,17222,0.00164938,0.0008611000000000001,0.00251048,0.00000802070287539936,0.000010682893617021276,0.000010915130434782608,0.00005341446808510638,0.0000784525,0.000031380999999999997,15,32
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,run1,,68,197,159,37,1,5,80.71065989847716,2.5380710659898478,18.781725888324875,73.58,58,42,59,430.567,46251,10779,0.00092502,0.0005389500000000001,0.0014639700000000002,0.000007431319796954316,0.00000920735849056604,0.000009506298701298703,0.000034856428571428576,0.000041827714285714294,0.000019896303343299814,7,35
meta-llama_llama-3.1-8b-instruct,pull-stream,1,run1,,351,1057,749,297,11,8,70.86092715231787,0.7568590350047304,28.098391674550616,69.69,463,227,59,1138.183,171744,53533,0.0034348800000000004,0.00267665,0.0061115300000000004,0.000005781958372753075,0.00000815958611481976,0.000008247678812415655,0.000026923039647577094,0.000027529414414414416,0.00008769593915913331,5,222
meta-llama_llama-3.1-8b-instruct,spacl-core,1,run1,,134,394,246,133,15,8,62.43654822335025,2.030456852791878,33.756345177664976,86.32,202,32,0,904.921,137051,22009,0.0027410200000000003,0.00110045,0.0038414700000000005,0.00000974992385786802,0.000015615731707317073,0.000016140630252100842,0.00012004593750000001,0.00024009187500000003,0.000044502664504170536,16,16
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,run1,,49,143,100,41,2,4,69.93006993006993,2.797202797202797,28.671328671328673,95,24,5,71,954.77,64962,8075,0.0012992400000000001,0.00040375000000000003,0.0017029900000000001,0.00001190902097902098,0.0000170299,0.00001773947916666667,0.000340598,0.000340598,0.000017926210526315792,0,5
