model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
openai_gpt-4o,Complex.js,1,run1,,490,1379,1200,178,1,91,87.01957940536622,6.598984771573605,12.907904278462654,59.83,718,482,0,352.54200000000003,788189,100148,1.9704725,1.00148,2.9719525,1200,4,2,6,0.4444444444444444,0.25,0.8
openai_gpt-4o,countries-and-timezones,1,run1,,106,309,259,45,5,9,83.81877022653723,2.912621359223301,14.563106796116504,87.26,226,33,0,271.076,82293,21954,0.2057325,0.21954,0.42527250000000005,259,8,6,14,0.6086956521739131,0.38461538461538464,0.8603896103896104
openai_gpt-4o,node-jsonfile,1,run1,,68,197,157,40,0,7,79.69543147208121,3.5532994923857872,20.304568527918782,73.89,53,41,63,450.481,46918,13601,0.11729500000000001,0.13601,0.253305,157,9,6,18,0.6666666666666666,0.35294117647058826,0.8888888888888888
openai_gpt-4o,pull-stream,1,run1,,351,1039,787,245,7,14,75.74590952839269,1.3474494706448508,23.58036573628489,65.95,453,268,66,1259.172,171725,70978,0.4293125,0.70978,1.1390924999999998,787,5,4,9,0.75,0.2857142857142857,0.9230769230769231
openai_gpt-4o,spacl-core,1,run1,,134,386,269,112,5,15,69.68911917098445,3.8860103626943006,29.015544041450774,89.24,224,27,0,1033.224,137862,26479,0.34465500000000004,0.26478999999999997,0.609445,269,6,3,10,0.38461538461538464,0.17857142857142858,0.7777777777777778
openai_gpt-4o,zip-a-folder,1,run1,,49,145,118,27,0,2,81.37931034482759,1.3793103448275863,18.620689655172416,95.76,27,5,86,1133.101,65869,10082,0.1646725,0.10082,0.2654925,118,8,4,13,0.5,0.21180555555555555,0.8333333333333334
