model_a,model_b,metric,U,p_raw,delta,magnitude,p_holm
meta-llama_llama-3.3-70b-instruct,qwen_qwen-2.5-coder-32b-instruct,mutationScore,12.0,0.3939393939393939,-0.3333333333333333,medium,1.0
openai_gpt-4o,openai_gpt-4o-mini,mutationScore,17.0,0.9372294372294373,-0.05555555555555555,negligible,1.0
openai_gpt-4o,qwen_qwen-2.5-coder-32b-instruct,mutationScore,15.0,0.6991341991341992,-0.16666666666666666,small,1.0
openai_gpt-4o-mini,qwen_qwen-2.5-coder-32b-instruct,mutationScore,13.0,0.48484848484848486,-0.2777777777777778,small,1.0
anthropic_claude-haiku-4.5,anthropic_claude-sonnet-4.5,nrSurvived,17.0,0.9360746770666198,-0.05555555555555555,negligible,1.0
anthropic_claude-haiku-4.5,deepseek_deepseek-chat-v3.1,nrSurvived,13.0,0.48484848484848486,-0.2777777777777778,small,1.0
anthropic_claude-haiku-4.5,google_gemini-3.1-flash-lite,nrSurvived,16.0,0.8181818181818182,-0.1111111111111111,negligible,1.0
anthropic_claude-haiku-4.5,google_gemini-3.5-flash,nrSurvived,12.0,0.3939393939393939,-0.3333333333333333,medium,1.0
anthropic_claude-haiku-4.5,meta-llama_llama-3.1-8b-instruct,nrSurvived,16.0,0.8181818181818182,-0.1111111111111111,negligible,1.0
anthropic_claude-haiku-4.5,meta-llama_llama-3.3-70b-instruct,nrSurvived,14.0,0.5887445887445888,-0.2222222222222222,small,1.0
anthropic_claude-haiku-4.5,openai_gpt-4o,nrSurvived,16.0,0.8181818181818182,-0.1111111111111111,negligible,1.0
anthropic_claude-haiku-4.5,openai_gpt-4o-mini,nrSurvived,19.0,0.9372294372294373,0.05555555555555555,negligible,1.0
anthropic_claude-haiku-4.5,qwen_qwen-2.5-coder-32b-instruct,nrSurvived,20.0,0.8181818181818182,0.1111111111111111,negligible,1.0
anthropic_claude-sonnet-4.5,deepseek_deepseek-chat-v3.1,nrSurvived,16.5,0.8723367813053394,-0.08333333333333333,negligible,1.0
anthropic_claude-sonnet-4.5,google_gemini-3.1-flash-lite,nrSurvived,18.0,1.0,0.0,negligible,1.0
anthropic_claude-sonnet-4.5,google_gemini-3.5-flash,nrSurvived,15.0,0.6884038632756921,-0.16666666666666666,small,1.0
anthropic_claude-sonnet-4.5,meta-llama_llama-3.1-8b-instruct,nrSurvived,16.5,0.871662990600504,-0.08333333333333333,negligible,1.0
anthropic_claude-sonnet-4.5,meta-llama_llama-3.3-70b-instruct,nrSurvived,15.0,0.6868382188662738,-0.16666666666666666,small,1.0
anthropic_claude-sonnet-4.5,openai_gpt-4o,nrSurvived,18.5,1.0,0.027777777777777776,negligible,1.0
anthropic_claude-sonnet-4.5,openai_gpt-4o-mini,nrSurvived,19.5,0.8723367813053394,0.08333333333333333,negligible,1.0
