model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,,490,1330,1106,209,15,109,83.15789473684211,8.195488721804512,15.714285714285714,54.79,606,500,0,345.111,790798,109244,0.16606758,0.08630275999999999,0.25237033999999997,0.00018975213533834584,0.0002281829475587703,0.00025312972918756265,0.0005047406799999999,0.0005801617011494252,0.004606138711443694,65,435
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,,106,298,261,33,4,15,87.58389261744966,5.033557046979865,11.073825503355705,82.76,216,45,0,269.919,85122,23905,0.01787562,0.01888495,0.03676057,0.00012335761744966441,0.0001408450957854406,0.00014943321138211383,0.0008169015555555555,0.001670935,0.0004441828177863702,23,22
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,,68,197,176,21,0,5,89.34010152284264,2.5380710659898478,10.65989847715736,80.11,70,35,71,509.136,47357,14066,0.009944970000000001,0.011112140000000001,0.021057110000000004,0.00010688888324873099,0.00011964267045454548,0.0001231409941520468,0.0006016317142857144,0.0008098888461538464,0.00026285245287729377,9,26
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,,351,1025,829,184,12,24,80.87804878048782,2.341463414634146,17.95121951219512,65.98,486,282,61,1245.935,171029,76260,0.03591609,0.0602454,0.09616148999999999,0.00009381608780487803,0.00011599697225572977,0.00011945526708074532,0.00034099819148936166,0.0003446648387096774,0.0014574339193695056,3,279
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,,134,377,261,111,5,24,69.23076923076923,6.36604774535809,29.44297082228117,83.33,199,40,1,941.485,139593,28361,0.02931453,0.022405190000000002,0.05171972,0.00013718758620689654,0.000198159846743295,0.00021822666666666666,0.0012929929999999999,0.0024628438095238092,0.0006206614664586584,19,21
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,,49,144,120,21,3,3,83.33333333333334,2.083333333333333,14.583333333333334,95.83,24,5,91,1232.632,66504,10744,0.013965839999999998,0.00848776,0.022453599999999997,0.00015592777777777777,0.0001871133333333333,0.00019191111111111107,0.004490719999999999,0.004490719999999999,0.00023430658457685482,0,5
