model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
openai_gpt-4o,Complex.js,1,run1,,490,1379,1200,178,1,91,87.01957940536622,6.598984771573605,12.907904278462654,59.83,718,482,0,352.54200000000003,788189,100148,1.9704725,1.00148,2.9719525,0.002155150471356055,0.002476627083333333,0.0026798489630297565,0.006165876556016597,0.00702589243498818,0.04967328263413004,59,423
openai_gpt-4o,countries-and-timezones,1,run1,,106,309,259,45,5,9,83.81877022653723,2.912621359223301,14.563106796116504,87.26,226,33,0,271.076,82293,21954,0.2057325,0.21954,0.42527250000000005,0.0013762864077669905,0.0016419787644787647,0.0017010900000000002,0.012887045454545457,0.02025107142857143,0.00487362479944992,12,21
openai_gpt-4o,node-jsonfile,1,run1,,68,197,157,40,0,7,79.69543147208121,3.5532994923857872,20.304568527918782,73.89,53,41,63,450.481,46918,13601,0.11729500000000001,0.13601,0.253305,0.0012858121827411168,0.001613407643312102,0.0016887,0.006178170731707317,0.00791578125,0.003428136419001218,9,32
openai_gpt-4o,pull-stream,1,run1,,351,1039,787,245,7,14,75.74590952839269,1.3474494706448508,23.58036573628489,65.95,453,268,66,1259.172,171725,70978,0.4293125,0.70978,1.1390924999999998,0.0010963354186717996,0.0014473856416772552,0.0014735996119016816,0.004250345149253731,0.004347681297709923,0.017272062168309323,6,262
openai_gpt-4o,spacl-core,1,run1,,134,386,269,112,5,15,69.68911917098445,3.8860103626943006,29.015544041450774,89.24,224,27,0,1033.224,137862,26479,0.34465500000000004,0.26478999999999997,0.609445,0.0015788730569948188,0.0022655947955390336,0.0023993897637795275,0.022572037037037036,0.03207605263157895,0.006829280591662932,8,19
openai_gpt-4o,zip-a-folder,1,run1,,49,145,118,27,0,2,81.37931034482759,1.3793103448275863,18.620689655172416,95.76,27,5,86,1133.101,65869,10082,0.1646725,0.10082,0.2654925,0.0018309827586206898,0.0022499364406779665,0.002288728448275862,0.05309850000000001,0.05309850000000001,0.0027724780701754385,0,5
