model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1385,1153,232,0,87,83.24909747292418,6.28158844765343,16.750902527075812,62.01,715,438,0,332.943,789062,98471,0.07890620000000001,0.03151072,0.11041692,0.00007972340794223827,0.00009576489158716392,0.00010358060037523452,0.00025209342465753423,0.0002774294472361809,0.0017806308659893567,40,398
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,268,43,0,7,86.17363344051448,2.2508038585209005,13.826366559485532,83.21,223,45,0,274.685,82948,21391,0.0082948,0.0068451200000000005,0.015139920000000001,0.00004868141479099679,0.00005649223880597015,0.00005800735632183908,0.0003364426666666667,0.0005607377777777778,0.00018194832351880785,18,27
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,199,171,28,0,5,85.92964824120602,2.512562814070352,14.07035175879397,75.44,59,42,70,502.876,46430,13587,0.004643,0.00434784,0.00899084,0.00004518010050251256,0.000052578011695906434,0.00005416168674698795,0.00021406761904761904,0.00031002896551724136,0.00011917868504772005,13,29
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1040,800,223,17,15,76.92307692307693,1.4423076923076923,21.44230769230769,67.25,486,262,52,1162.05,173381,67874,0.017338100000000002,0.02171968,0.03905778,0.000037555557692307694,0.000048822225,0.000049755133757961786,0.0001490754961832061,0.00015437857707509883,0.0005807848327137546,9,253
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,387,264,120,3,14,68.21705426356588,3.6175710594315245,31.007751937984494,87.9,217,30,1,979.889,137742,26387,0.0137742,0.008443840000000001,0.02221804,0.00005741095607235142,0.00008415924242424243,0.00008887216000000001,0.0007406013333333334,0.0013886275,0.00025276496018202503,14,16
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,145,114,31,0,2,78.62068965517241,1.3793103448275863,21.379310344827587,94.74,82,6,26,398.701,65055,10112,0.006505500000000001,0.00323584,0.009741340000000001,0.0000671816551724138,0.00008545035087719299,0.00008697625,0.001623556666666667,0.001623556666666667,0.00010282182816128353,0,6
