model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
openai_gpt-4o-mini,Complex.js,1,run1,,490,1395,1065,311,19,75,76.34408602150538,5.376344086021505,22.293906810035843,62.63,667,398,0,280,788189,96125,0.11822835,0.057675,0.17590334999999999,0.00012609559139784945,0.00016516746478873238,0.0001776801515151515,0.000441968216080402,0.00047285846774193545,0.0028086116876896053,26,372
openai_gpt-4o-mini,countries-and-timezones,1,run1,,106,308,224,81,3,10,72.72727272727273,3.2467532467532463,26.2987012987013,86.16,193,31,0,211.387,82293,21936,0.012343950000000001,0.0131616,0.025505550000000002,0.00008281022727272728,0.00011386406250000001,0.00011918481308411215,0.0008227596774193549,0.0063763875000000005,0.0002960254178272981,27,4
openai_gpt-4o-mini,node-jsonfile,1,run1,,68,197,156,41,0,7,79.18781725888326,3.5532994923857872,20.812182741116754,80.77,61,30,65,470.422,46918,13586,0.0070377,0.0081516,0.0151893,0.00007710304568527918,0.00009736730769230769,0.00010194161073825503,0.0005063099999999999,0.000607572,0.00018805620898848584,5,25
openai_gpt-4o-mini,pull-stream,1,run1,,351,1029,750,265,14,24,72.8862973760933,2.3323615160349855,25.75315840621963,68,452,240,58,1144.877,171725,70273,0.025758749999999997,0.0421638,0.06792255,0.00006600830903790087,0.0000905634,0.00009355723140495867,0.000283010625,0.00028659303797468354,0.0009988610294117647,3,237
openai_gpt-4o-mini,spacl-core,1,run1,,134,387,249,130,8,15,64.34108527131784,3.875968992248062,33.59173126614987,90.71,205,21,0,901.775,137862,26412,0.0206793,0.0158472,0.0365265,0.00009438372093023257,0.00014669277108433736,0.00015609615384615385,0.001739357142857143,0.003043875,0.00040267335464667627,9,12
openai_gpt-4o-mini,zip-a-folder,1,run1,,49,144,96,47,1,3,66.66666666666666,2.083333333333333,32.63888888888889,94.79,21,5,70,955.675,65869,9947,0.00988035,0.005968199999999999,0.01584855,0.00011005937499999999,0.00016508906249999999,0.00017041451612903225,0.00316971,0.00316971,0.0001671964342230193,0,5
