model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
google_gemini-3.1-flash-lite,Complex.js,1,run1,,490,1380,1142,205,33,72,82.7536231884058,5.217391304347826,14.855072463768115,57.01,650,491,1,341.93,893666,107138,0.2234165,0.160707,0.38412349999999995,0.00027835036231884053,0.00033636033274956213,0.0003589939252336448,0.0007823289205702647,0.0009233737980769229,0.006737826697070689,75,416
google_gemini-3.1-flash-lite,countries-and-timezones,1,run1,,106,303,250,51,2,15,82.50825082508251,4.9504950495049505,16.831683168316832,88,220,30,0,251.817,93320,23535,0.02333,0.0353025,0.058632500000000004,0.000193506600660066,0.00023453000000000002,0.0002495,0.001954416666666667,0.0030859210526315794,0.0006662784090909091,11,19
google_gemini-3.1-flash-lite,node-jsonfile,1,run1,,68,199,160,39,0,5,80.40201005025126,2.512562814070352,19.597989949748744,77.5,58,36,66,488.398,50638,14978,0.0126595,0.022467,0.035126500000000005,0.00017651507537688445,0.00021954062500000003,0.00022662258064516132,0.0009757361111111112,0.0012545178571428573,0.00045324516129032264,8,28
google_gemini-3.1-flash-lite,pull-stream,1,run1,,351,1038,809,225,4,16,77.9383429672447,1.5414258188824663,21.67630057803468,68.11,482,258,69,1272.511,185691,72933,0.04642275,0.1093995,0.15582225,0.000150117774566474,0.00019261093943139678,0.00019649716267339218,0.0006039622093023256,0.0006208057768924303,0.0022878028189693145,7,251
google_gemini-3.1-flash-lite,spacl-core,1,run1,,134,383,259,120,4,16,67.62402088772846,4.177545691906006,31.33159268929504,84.62,209,38,0,974.462,150732,30236,0.037683,0.045354,0.083037,0.00021680678851174935,0.0003206061776061776,0.00034171604938271606,0.0021851842105263157,0.0039541428571428575,0.0009812928385724414,17,21
google_gemini-3.1-flash-lite,zip-a-folder,1,run1,,49,143,117,21,5,5,81.81818181818183,3.4965034965034967,14.685314685314685,94.02,19,7,91,1157.738,73788,11154,0.018447,0.016731000000000003,0.035178,0.000246,0.0003006666666666667,0.0003140892857142857,0.005025428571428571,0.005025428571428571,0.0003741544352265476,0,7
