provider,package,deltaMutationScore,deltaSurvivors,deltaEquivRate,deltaCostPerSurvivor,deltaNormLevenshtein,nonReasoningMutationScore,reasoningMutationScore
Google,Complex.js,-0.5800000000000054,-281,2.0237,0.002248686027053037,-0.0444444444444444,60.63,60.05
Google,countries-and-timezones,2.0400000000000063,-17,-2.5,0.008289548999999998,-0.10763888888888884,89.96,92
Google,node-jsonfile,1.6300000000000097,-22,21.568600000000004,0.0032591539215686277,-0.13383458646616542,80.46,82.09
Google,pull-stream,2.200000000000003,-179,-1.1194,0.002165290801609928,-0.050000000000000044,67.32,69.52
Google,spacl-core,1.5,-16,0,0.013103433540372668,-0.025000000000000022,91.05,92.55
Google,zip-a-folder,-0.539999999999992,-1,0,0.027586950000000002,-0.0738738738738739,98.32,97.78
