package,n_observations,total_surviving,predicted_equivalent,mean_equiv_rate_pct,std_equiv_rate_pct,min_equiv_rate_pct,max_equiv_rate_pct,range_equiv_rate_pct,coeff_of_variation_pct,weighted_equiv_rate_pct,ci_low_pct,ci_high_pct
Complex.js,10,4307,458,10.3986,4.1126,1.7157,15.2749,1.7%-15.3%,39.5496,10.6339,9.7283,11.5626
countries-and-timezones,10,378,165,43.2509,9.8313,31.9149,64.2857,31.9%-64.3%,22.7309,43.6508,38.6243,48.6772
node-jsonfile,10,389,90,22.9459,4.8741,16.6667,33.3333,16.7%-33.3%,21.2417,23.1362,19.0231,27.2558
pull-stream,10,2580,48,1.8865,0.9434,0.8097,3.3708,0.8%-3.4%,50.0076,1.8605,1.3566,2.4031
spacl-core,10,260,122,46.7352,6.9473,32.0,54.5455,32.0%-54.5%,14.8653,46.9231,40.7692,52.6923
zip-a-folder,10,48,0,0.0,0.0,0.0,0.0,0.0%-0.0%,0.0,0.0,0.0,0.0
