model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,inputCostUsd,outputCostUsd,totalCostUsd
google_gemini-3.5-flash,node-jsonfile,1,run1,,68,200,161,38,1,2,80.5,1,19,72.05,62,45,54,428.282,50578,15171,0.07586699999999999,0.136539,0.21240599999999998
google_gemini-3.5-flash,pull-stream,1,run1,,351,1020,858,161,1,29,84.11764705882354,2.843137254901961,15.784313725490195,64.8,489,302,67,1346.122,185351,76218,0.27802649999999995,0.685962,0.9639884999999999
google_gemini-3.5-flash,spacl-core,1,run1,,134,375,257,116,2,22,68.53333333333333,5.866666666666666,30.933333333333334,83.95,204,39,0,941.436,150586,30682,0.225879,0.276138,0.5020169999999999
google_gemini-3.5-flash,zip-a-folder,1,run1,,49,146,118,24,4,1,80.82191780821918,0.684931506849315,16.43835616438356,97.46,19,3,96,1273.952,73738,11053,0.110607,0.09947700000000001,0.210084
meta-llama_llama-3.1-8b-instruct,Complex.js,1,run1,,490,1424,1127,279,18,42,79.14325842696628,2.9494382022471908,19.59269662921348,63.8,718,408,1,334.827,787157,76227,0.01574314,0.0038113500000000002,0.01955449
meta-llama_llama-3.1-8b-instruct,countries-and-timezones,1,run1,,106,313,235,73,5,5,75.07987220447284,1.5974440894568689,23.322683706070286,80,188,47,0,245.88400000000001,82469,17222,0.00164938,0.0008611000000000001,0.00251048
meta-llama_llama-3.1-8b-instruct,node-jsonfile,1,run1,,68,197,159,37,1,5,80.71065989847716,2.5380710659898478,18.781725888324875,73.58,58,42,59,430.567,46251,10779,0.00092502,0.0005389500000000001,0.0014639700000000002
meta-llama_llama-3.1-8b-instruct,pull-stream,1,run1,,351,1057,749,297,11,8,70.86092715231787,0.7568590350047304,28.098391674550616,69.69,463,227,59,1138.183,171744,53533,0.0034348800000000004,0.00267665,0.0061115300000000004
meta-llama_llama-3.1-8b-instruct,spacl-core,1,run1,,134,394,246,133,15,8,62.43654822335025,2.030456852791878,33.756345177664976,86.32,202,32,0,904.921,137051,22009,0.0027410200000000003,0.00110045,0.0038414700000000005
meta-llama_llama-3.1-8b-instruct,zip-a-folder,1,run1,,49,143,100,41,2,4,69.93006993006993,2.797202797202797,28.671328671328673,95,24,5,71,954.77,64962,8075,0.0012992400000000001,0.00040375000000000003,0.0017029900000000001
meta-llama_llama-3.3-70b-instruct,Complex.js,1,run1,,490,1385,1153,232,0,87,83.24909747292418,6.28158844765343,16.750902527075812,62.01,715,438,0,332.943,789062,98471,0.07890620000000001,0.03151072,0.11041692
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,1,run1,,106,311,268,43,0,7,86.17363344051448,2.2508038585209005,13.826366559485532,83.21,223,45,0,274.685,82948,21391,0.0082948,0.0068451200000000005,0.015139920000000001
meta-llama_llama-3.3-70b-instruct,node-jsonfile,1,run1,,68,199,171,28,0,5,85.92964824120602,2.512562814070352,14.07035175879397,75.44,59,42,70,502.876,46430,13587,0.004643,0.00434784,0.00899084
meta-llama_llama-3.3-70b-instruct,pull-stream,1,run1,,351,1040,800,223,17,15,76.92307692307693,1.4423076923076923,21.44230769230769,67.25,486,262,52,1162.05,173381,67874,0.017338100000000002,0.02171968,0.03905778
meta-llama_llama-3.3-70b-instruct,spacl-core,1,run1,,134,387,264,120,3,14,68.21705426356588,3.6175710594315245,31.007751937984494,87.9,217,30,1,979.889,137742,26387,0.0137742,0.008443840000000001,0.02221804
meta-llama_llama-3.3-70b-instruct,zip-a-folder,1,run1,,49,145,114,31,0,2,78.62068965517241,1.3793103448275863,21.379310344827587,94.74,82,6,26,398.701,65055,10112,0.006505500000000001,0.00323584,0.009741340000000001
openai_gpt-4o-mini,Complex.js,1,run1,,490,1395,1065,311,19,75,76.34408602150538,5.376344086021505,22.293906810035843,62.63,667,398,0,280,788189,96125,0.11822835,0.057675,0.17590334999999999
openai_gpt-4o-mini,countries-and-timezones,1,run1,,106,308,224,81,3,10,72.72727272727273,3.2467532467532463,26.2987012987013,86.16,193,31,0,211.387,82293,21936,0.012343950000000001,0.0131616,0.025505550000000002
openai_gpt-4o-mini,node-jsonfile,1,run1,,68,197,156,41,0,7,79.18781725888326,3.5532994923857872,20.812182741116754,80.77,61,30,65,470.422,46918,13586,0.0070377,0.0081516,0.0151893
openai_gpt-4o-mini,pull-stream,1,run1,,351,1029,750,265,14,24,72.8862973760933,2.3323615160349855,25.75315840621963,68,452,240,58,1144.877,171725,70273,0.025758749999999997,0.0421638,0.06792255
openai_gpt-4o-mini,spacl-core,1,run1,,134,387,249,130,8,15,64.34108527131784,3.875968992248062,33.59173126614987,90.71,205,21,0,901.775,137862,26412,0.0206793,0.0158472,0.0365265
openai_gpt-4o-mini,zip-a-folder,1,run1,,49,144,96,47,1,3,66.66666666666666,2.083333333333333,32.63888888888889,94.79,21,5,70,955.675,65869,9947,0.00988035,0.005968199999999999,0.01584855
openai_gpt-4o,Complex.js,1,run1,,490,1379,1200,178,1,91,87.01957940536622,6.598984771573605,12.907904278462654,59.83,718,482,0,352.54200000000003,,,,,
openai_gpt-4o,countries-and-timezones,1,run1,,106,309,259,45,5,9,83.81877022653723,2.912621359223301,14.563106796116504,87.26,226,33,0,271.076,,,,,
openai_gpt-4o,node-jsonfile,1,run1,,68,197,157,40,0,7,79.69543147208121,3.5532994923857872,20.304568527918782,73.89,53,41,63,450.481,,,,,
openai_gpt-4o,pull-stream,1,run1,,351,1039,787,245,7,14,75.74590952839269,1.3474494706448508,23.58036573628489,65.95,453,268,66,1259.172,,,,,
openai_gpt-4o,spacl-core,1,run1,,134,386,269,112,5,15,69.68911917098445,3.8860103626943006,29.015544041450774,89.24,224,27,0,1033.224,,,,,
openai_gpt-4o,zip-a-folder,1,run1,,49,145,118,27,0,2,81.37931034482759,1.3793103448275863,18.620689655172416,95.76,27,5,86,1133.101,,,,,
qwen_qwen-2.5-coder-32b-instruct,Complex.js,1,run1,,490,1277,1091,186,0,110,85.43461237274863,8.613938919342209,14.565387627251368,62.97,687,404,0,323.762,790730,95129,0.5218818000000001,0.095129,0.6170108000000001
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,1,run1,,106,306,258,46,2,5,84.31372549019608,1.6339869281045754,15.032679738562091,92.64,239,19,0,240.331,82855,21849,0.0546843,0.021849,0.0765333
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,run1,,68,195,180,15,0,5,92.3076923076923,2.564102564102564,7.6923076923076925,84.44,75,28,77,556.758,46288,13499,0.030550080000000004,0.013499,0.044049080000000004
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,run1,,351,1014,829,179,6,22,81.75542406311637,2.1696252465483234,17.65285996055227,70.21,521,247,61,1224.234,171244,69176,0.11302104000000002,0.069176,0.18219704000000003
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,run1,,134,371,257,109,5,20,69.2722371967655,5.3908355795148255,29.380053908355798,94.98,227,12,0,1005.993,137199,26202,0.09055134,0.026202,0.11675334
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,run1,,49,142,111,30,1,5,78.16901408450704,3.5211267605633805,21.12676056338028,95.5,21,5,85,1087.255,64743,10036,0.04273038,0.010036,0.05276638
