model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
anthropic_claude-sonnet-4.5,spacl-core,2,run2,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,243,4,2,6,0.3333333333333333,0.11813953488372092,0.6602870813397129
anthropic_claude-sonnet-4.5,zip-a-folder,2,run2,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,115,6,3,13,0.3939393939393939,0.2,0.8117647058823529
anthropic_claude-sonnet-4.5,Complex.js,3,run3,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,815,2,1,4,0.375,0.14285714285714285,0.75
anthropic_claude-sonnet-4.5,countries-and-timezones,3,run3,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,233,6,5,8,0.5,0.29411764705882354,0.8571428571428571
anthropic_claude-sonnet-4.5,node-jsonfile,3,run3,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,170,6,4,8,0.5555555555555556,0.26666666666666666,0.8705357142857143
anthropic_claude-sonnet-4.5,pull-stream,3,run3,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,789,4,3,6,0.7777777777777778,0.2857142857142857,1
anthropic_claude-sonnet-4.5,spacl-core,3,run3,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,243,4,2,6,0.3333333333333333,0.11813953488372092,0.6602870813397129
anthropic_claude-sonnet-4.5,zip-a-folder,3,run3,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,115,6,3,13,0.3939393939393939,0.2,0.8117647058823529
anthropic_claude-sonnet-4.5,Complex.js,4,run4,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,815,2,1,4,0.375,0.14285714285714285,0.75
anthropic_claude-sonnet-4.5,countries-and-timezones,4,run4,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,233,6,5,8,0.5,0.29411764705882354,0.8571428571428571
anthropic_claude-sonnet-4.5,node-jsonfile,4,run4,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,170,6,4,8,0.5555555555555556,0.26666666666666666,0.8705357142857143
anthropic_claude-sonnet-4.5,pull-stream,4,run4,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,789,4,3,6,0.7777777777777778,0.2857142857142857,1
anthropic_claude-sonnet-4.5,spacl-core,4,run4,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,243,4,2,6,0.3333333333333333,0.11813953488372092,0.6602870813397129
anthropic_claude-sonnet-4.5,zip-a-folder,4,run4,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,115,6,3,13,0.3939393939393939,0.2,0.8117647058823529
anthropic_claude-sonnet-4.5,Complex.js,5,run5,,490,1168,815,335,18,66,69.77739726027397,5.650684931506849,28.68150684931507,55.71,454,361,0,245.677,923393,122500,4.607679,815,2,1,4,0.375,0.14285714285714285,0.75
anthropic_claude-sonnet-4.5,countries-and-timezones,5,run5,,106,285,233,48,4,21,81.75438596491227,7.368421052631578,16.842105263157894,82.83,193,40,0,248.013,100232,25906,0.6892860000000001,233,6,5,8,0.5,0.29411764705882354,0.8571428571428571
anthropic_claude-sonnet-4.5,node-jsonfile,5,run5,,68,192,170,21,1,8,88.54166666666666,4.166666666666666,10.9375,75.29,68,42,60,488.813,53339,15698,0.39548700000000003,170,6,4,8,0.5555555555555556,0.26666666666666666,0.8705357142857143
anthropic_claude-sonnet-4.5,pull-stream,5,run5,,351,925,789,133,3,32,85.29729729729729,3.4594594594594597,14.378378378378379,69.58,481,240,68,1256.12,188727,85626,1.850571,789,4,3,6,0.7777777777777778,0.2857142857142857,1
anthropic_claude-sonnet-4.5,spacl-core,5,run5,,134,354,243,107,4,20,68.64406779661016,5.649717514124294,30.225988700564972,92.21,213,18,0,937.821,155672,32739,0.9581009999999999,243,4,2,6,0.3333333333333333,0.11813953488372092,0.6602870813397129
anthropic_claude-sonnet-4.5,zip-a-folder,5,run5,,49,137,115,17,5,6,83.94160583941606,4.37956204379562,12.408759124087592,96.52,24,4,87,1119.306,81937,12002,0.425841,115,6,3,13,0.3939393939393939,0.2,0.8117647058823529
deepseek_deepseek-chat-v3.1,Complex.js,1,run1,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,1,run1,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,1,run1,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,1,run1,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,1,run1,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,1,run1,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,2,run2,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,2,run2,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,2,run2,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,2,run2,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,2,run2,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,2,run2,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,3,run3,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,3,run3,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
deepseek_deepseek-chat-v3.1,node-jsonfile,3,run3,,68,198,172,25,1,6,86.86868686868688,3.0303030303030303,12.626262626262626,80.81,67,33,72,538.81,,,,172,7,4,9,0.698005698005698,0.32,0.9166666666666666
deepseek_deepseek-chat-v3.1,pull-stream,3,run3,,351,1027,829,183,15,23,80.7205452775073,2.239532619279455,17.818889970788703,63.93,468,299,62,1284.004,,,,829,5,4,8,0.8,0.3333333333333333,1
deepseek_deepseek-chat-v3.1,spacl-core,3,run3,,134,371,250,115,6,24,67.38544474393531,6.46900269541779,30.997304582210244,83.98,193,37,1,936.73,,,,250,5,3,8,0.38461538461538464,0.16263440860215053,0.75
deepseek_deepseek-chat-v3.1,zip-a-folder,3,run3,,49,142,120,16,6,4,84.50704225352112,2.8169014084507045,11.267605633802818,93.33,26,8,86,1201.074,,,,120,8,4,15,0.5202702702702703,0.2386497641509434,0.8259803921568627
deepseek_deepseek-chat-v3.1,Complex.js,4,run4,,490,1341,1117,216,8,97,83.29604772557792,7.233407904548844,16.10738255033557,54.25,605,511,1,368.507,,,,1117,3,1,6,0.5,0.2,1
deepseek_deepseek-chat-v3.1,countries-and-timezones,4,run4,,106,298,263,31,4,14,88.25503355704699,4.697986577181208,10.40268456375839,82.13,216,47,0,269.641,,,,263,7,5,11,0.5625,0.35294117647058826,0.8571428571428571
